index,location,precipitation,temp_max,temp_min,wind,weather,Year,Month,Day
0,Seattle,0.0,12.8,5.0,4.7,drizzle,2012,1,1
31,Seattle,13.5,8.9,3.3,2.7,rain,2012,2,1
60,Seattle,0.0,6.1,1.1,3.1,sun,2012,3,1
91,Seattle,1.5,8.9,4.4,6.8,rain,2012,4,1
121,Seattle,0.5,11.7,6.1,6.4,rain,2012,5,1
152,Seattle,6.6,20.0,12.8,3.7,rain,2012,6,1
182,Seattle,0.0,20.0,12.2,2.3,rain,2012,7,1
213,Seattle,0.0,23.9,13.3,2.2,drizzle,2012,8,1
244,Seattle,0.0,21.7,10.6,2.1,sun,2012,9,1
274,Seattle,0.0,23.3,8.9,3.0,sun,2012,10,1
305,Seattle,9.7,15.0,10.6,3.0,rain,2012,11,1
335,Seattle,4.1,13.3,8.3,5.5,rain,2012,12,1
1461,New York,1.8,10.0,3.3,5.1,rain,2012,1,1
1492,New York,0.8,17.8,5.6,5.2,rain,2012,2,1
1521,New York,2.8,5.6,2.2,4.7,rain,2012,3,1
1552,New York,7.6,11.1,5.6,3.8,rain,2012,4,1
1582,New York,23.9,21.1,11.1,4.8,rain,2012,5,1
1613,New York,11.4,22.2,16.7,7.4,rain,2012,6,1
1643,New York,0.0,32.8,21.1,4.7,sun,2012,7,1
1674,New York,1.8,27.8,22.2,3.0,rain,2012,8,1
1705,New York,0.0,33.3,22.8,4.9,sun,2012,9,1
1735,New York,0.0,22.2,12.2,5.1,sun,2012,10,1
1766,New York,0.0,11.1,7.2,6.3,sun,2012,11,1
1796,New York,0.0,7.2,3.9,5.5,drizzle,2012,12,1
366,Seattle,0.0,5.0,-2.8,2.7,sun,2013,1,1
397,Seattle,0.3,11.7,5.0,2.9,rain,2013,2,1
425,Seattle,4.1,15.0,11.1,5.4,rain,2013,3,1
456,Seattle,0.0,17.2,8.3,3.6,sun,2013,4,1
486,Seattle,0.0,18.3,3.3,3.1,sun,2013,5,1
517,Seattle,0.0,22.8,12.2,2.5,sun,2013,6,1
547,Seattle,0.0,31.7,18.3,2.3,sun,2013,7,1
578,Seattle,0.0,20.6,13.3,3.9,sun,2013,8,1
609,Seattle,0.0,27.8,15.6,2.5,sun,2013,9,1
639,Seattle,7.9,14.4,8.9,4.7,rain,2013,10,1
670,Seattle,1.3,17.8,11.7,1.4,rain,2013,11,1
700,Seattle,3.0,13.3,7.8,8.8,rain,2013,12,1
1827,New York,0.0,5.0,-2.8,6.8,sun,2013,1,1
1858,New York,0.0,0.6,-4.4,8.8,snow,2013,2,1
1886,New York,0.0,8.3,2.2,5.8,sun,2013,3,1
1917,New York,0.0,17.2,2.8,6.7,sun,2013,4,1
1947,New York,0.0,18.3,6.1,3.5,sun,2013,5,1
1978,New York,0.0,26.1,17.8,5.2,sun,2013,6,1
2008,New York,24.9,25.6,21.7,5.1,rain,2013,7,1
2039,New York,16.5,25.0,20.0,4.5,rain,2013,8,1
2070,New York,0.5,28.9,22.8,3.9,rain,2013,9,1
2100,New York,0.0,27.2,14.4,3.6,sun,2013,10,1
2131,New York,1.8,20.6,14.4,7.3,rain,2013,11,1
2161,New York,0.0,9.4,2.8,3.0,drizzle,2013,12,1
731,Seattle,0.0,7.2,3.3,1.2,sun,2014,1,1
762,Seattle,2.0,7.8,2.8,0.8,rain,2014,2,1
790,Seattle,0.5,7.2,4.4,4.7,rain,2014,3,1
821,Seattle,0.0,14.4,6.7,2.8,sun,2014,4,1
851,Seattle,0.0,29.4,11.1,3.0,sun,2014,5,1
882,Seattle,0.0,22.2,10.6,2.3,sun,2014,6,1
912,Seattle,0.0,34.4,15.6,3.5,sun,2014,7,1
943,Seattle,0.0,28.9,15.0,3.3,sun,2014,8,1
974,Seattle,0.0,23.3,12.8,2.5,sun,2014,9,1
1004,Seattle,0.0,18.3,11.1,2.1,sun,2014,10,1
1035,Seattle,0.0,11.1,7.2,1.2,fog,2014,11,1
1065,Seattle,0.0,4.4,-3.2,2.2,sun,2014,12,1
2192,New York,0.0,1.1,-4.3,4.0,sun,2014,1,1
2223,New York,0.0,6.1,-1.0,1.8,sun,2014,2,1
2251,New York,0.0,2.2,-8.2,2.7,sun,2014,3,1
2282,New York,0.0,13.9,2.8,4.5,sun,2014,4,1
2312,New York,6.1,21.7,11.7,5.9,rain,2014,5,1
2343,New York,0.0,23.9,12.2,3.7,sun,2014,6,1
2373,New York,0.0,28.9,21.7,6.7,sun,2014,7,1
2404,New York,0.0,27.8,21.7,3.6,sun,2014,8,1
2435,New York,0.0,30.0,23.3,3.9,sun,2014,9,1
2465,New York,0.0,19.4,16.7,5.1,sun,2014,10,1
2496,New York,26.2,9.4,6.1,8.2,rain,2014,11,1
2526,New York,1.8,16.7,5.6,4.2,rain,2014,12,1
1096,Seattle,0.0,5.6,-3.2,1.2,sun,2015,1,1
1127,Seattle,1.5,9.4,4.4,2.6,rain,2015,2,1
